Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Holy See,2022-01-11 08:21:10,41.9029,12.4534,27,0,,,3337.4536464771318,,,0.0,336,VAT,0,0
Honduras,2022-01-11 08:21:10,15.2,-86.2419,381254,10443,,,3849.258850022131,,,2.739118802687972,340,HND,2639,20
Hungary,2022-01-11 08:21:10,47.1625,19.5033,1297612,39947,,,13432.34975958428,,,3.0785011236024333,348,HUN,98673,3063
Iceland,2022-01-11 08:21:10,64.9631,-19.0208,40037,39,,,11732.454212454211,,,0.09740989584634213,352,ISL,20490,3
India,2022-01-11 08:21:10,20.593684,78.96288,35875790,484213,,,2599.6866669376564,,,1.3496929266226612,356,IND,1172146,8325
Indonesia,2022-01-11 08:21:10,-0.7893,113.9213,4266649,144136,,,1559.8831956089084,,,3.378201487865536,360,IDN,7400,188
Iran,2022-01-11 08:21:10,32.427908,53.68804599999999,6208337,131915,,,7391.497474794107,,,2.1248041142096508,364,IRN,50818,1151
Iraq,2022-01-11 08:21:10,33.223191,43.679291,2098908,24212,,,5218.243131214384,,,1.153552228110999,368,IRQ,10549,218
Ireland,2022-01-11 08:21:10,53.1424,-7.6921,978104,5952,,,19808.51375796003,,,0.608524246910349,372,IRL,349798,164
Israel,2022-01-11 08:21:10,31.046051,34.851612,1557597,8271,,,17995.374292606317,,,0.5310102677393447,376,ISR,206582,48
Italy,2022-01-11 08:21:10,41.8719,12.5674,7554344,139265,,,12494.402253269616,,,1.8435088473598769,380,ITA,2316123,4336
Jamaica,2022-01-11 08:21:10,18.1096,-77.2975,102505,2499,,,3461.6489951069866,,,2.4379298570801424,388,JAM,10703,71
Japan,2022-01-11 08:21:10,36.204824,138.252924,1770545,18401,,,1399.9008416254035,,,1.0392845140902942,392,JPN,42455,31
Jordan,2022-01-11 08:21:10,31.24,36.51,1047953,12372,,,10270.887197470583,,,1.1805872973310827,400,JOR,32664,348
Kazakhstan,2022-01-11 08:21:10,48.0196,66.9237,1083988,18284,,,5773.046360045988,,,1.6867345394967472,398,KAZ,20179,235
Kenya,2022-01-11 08:21:10,-0.0236,37.9062,312572,5454,,,581.2989457201146,,,1.7448779801133818,404,KEN,56088,105
Kiribati,2022-01-11 08:21:10,-3.3704,-168.734,2,0,,,1.7005935071339895,,,0.0,296,KIR,0,0
"Korea, South",2022-01-11 08:21:10,35.90775700000001,127.766922,670483,6114,,,1307.7700106904374,,,0.9118799432647808,410,KOR,141831,1727
Kosovo,2022-01-11 08:21:10,42.602636,20.902977,162913,2991,,,8998.898565262494,,,1.8359492489856548,383,XKS,1705,4
Kuwait,2022-01-11 08:21:10,29.31166,47.481766,437602,2472,,,10246.939337974876,,,0.564896869758365,414,KWT,23891,6
Kyrgyzstan,2022-01-11 08:21:10,41.20438,74.766098,186413,2821,,,2857.2584708203667,,,1.5133064754067582,417,KGZ,2074,49
Laos,2022-01-11 08:21:10,19.85627,102.495496,119521,448,,,1642.7747927443618,,,0.374829527865396,418,LAO,29063,198
Latvia,2022-01-11 08:21:10,56.8796,24.6032,288715,4661,,,15306.685074027066,,,1.614394818419549,428,LVA,26500,285
Lebanon,2022-01-11 08:21:10,33.8547,35.8623,780833,9298,,,11440.035678275488,,,1.1907795905142329,422,LBN,89992,438
Lesotho,2022-01-11 08:21:10,-29.61,28.2336,31106,683,,,1452.0233847371828,,,2.1957178679354463,426,LSO,8004,19
Liberia,2022-01-11 08:21:10,6.4280550000000005,-9.429499,6851,287,,,135.45744419819613,,,4.189169464311779,430,LBR,1007,0
Libya,2022-01-11 08:21:10,26.3351,17.228331,393983,5796,,,5733.7584647533995,,,1.471129464976915,434,LBY,15167,235
Liechtenstein,2022-01-11 08:21:10,47.14,9.55,6716,71,,,17610.194823924274,,,1.0571768910065515,438,LIE,1315,4
Lithuania,2022-01-11 08:21:10,55.1694,23.8813,547020,7565,,,20094.104561194963,,,1.3829476070344775,440,LTU,52289,565
Luxembourg,2022-01-11 08:21:10,49.8153,6.1296,116039,930,,,18537.29216455583,,,0.8014546833392222,442,LUX,21739,35
MS Zaandam,2022-01-11 08:21:10,,,9,2,,,,,,22.222222222222218,8888,,0,0
Madagascar,2022-01-11 08:21:10,-18.766947,46.869107,54101,1117,,,195.37381415974616,,,2.0646568455296577,450,MDG,8307,137
Malawi,2022-01-11 08:21:10,-13.2543,34.3015,80269,2420,,,419.5984778845533,,,3.0148625247604928,454,MWI,17889,112
Malaysia,2022-01-11 08:21:10,4.210483999999999,101.97576600000001,2788860,31696,,,8616.635272609237,,,1.1365217328944444,458,MYS,93717,788
Maldives,2022-01-11 08:21:10,3.2028,73.2207,98506,264,,,18223.56079638585,,,0.26800397945302823,462,MDV,5260,6
Mali,2022-01-11 08:21:10,17.570692,-3.996166000000001,26011,675,,,128.44409272230467,,,2.5950559378724387,466,MLI,7384,45
Malta,2022-01-11 08:21:10,35.9375,14.3754,60823,488,,,13775.22710338158,,,0.8023280666853,470,MLT,20199,17
Marshall Islands,2022-01-11 08:21:10,7.1315,171.1845,7,0,,,11.983633780151678,,,0.0,584,MHL,3,0
Mauritania,2022-01-11 08:21:10,21.0079,-10.9408,49673,888,,,1068.3146724706753,,,1.7876915024258648,478,MRT,9839,38
Mauritius,2022-01-11 08:21:10,-20.348404,57.552152,24264,240,,,1907.8966508802318,,,0.9891196834817012,480,MUS,1613,0
